date,rating,review_text,product
"Jul 3, 2023",5,There were a few hiccups due to miscommunication on my part but Ida worked with me to make sure I received what I had thought up. She was great at communicating and very responsive when I needed her. Product turned out beautiful. Thank you Ida!!,Handwriting Bracelet | Fingerprint Jewelry | Engraved Bracelet | Fingerprint Bracelet
"Jul 3, 2023",5,It’s perfect!,"Gigi Necklace Personalized With Grandkids Birth Month Birthstones Gift for Mom, Gift For Grandma Handmade Jewelry, Mother's Day Gift"
"Jul 3, 2023",5,Perfect for my Husband Dad and my Dad's ashes,"Personalized Black Tube Cremation Jewelry for Ashes, Ashes Holder for Men,Urn Necklace for Ashes, Cremation Necklace Dad Husband Grandpa"
"Jul 3, 2023",5,Perfect personalized item. Highly recommend.,Personalized Lotus Locket Necklace Cremation Jewelry • Personalized Urn Necklace • Pet Urn Ashes Necklace • Free Funnel Kit
"Jul 3, 2023",5,,"Personalized Baseball Cremation Jewelry for Ashes,Ashes Holder for Men,Urn Necklace for Ashes,Cremation Necklace Husband Grandpa Grandson"
"Jul 3, 2023",5,,"Personalized Guardian Angel Wing Cremation Jewelry for Ashes, Ashes Holder for Women, Urn Necklace for Ashes, Cremation Necklace"
"Jul 3, 2023",4,,"Personalized Guardian Angel Wing Cremation Jewelry for Ashes, Ashes Holder for Women, Urn Necklace for Ashes, Cremation Necklace"
"Jul 3, 2023",5,,"Personalized Guardian Angel Wing Cremation Jewelry for Ashes, Ashes Holder for Women, Urn Necklace for Ashes, Cremation Necklace"
"Jul 2, 2023",5,This was absolutely beautiful,Personalized Lotus Locket Necklace Cremation Jewelry • Personalized Urn Necklace • Pet Urn Ashes Necklace • Free Funnel Kit
"Jul 2, 2023",5,At a very difficult time I received this for my husband’s ashes. It came very quickly and is just beautiful.  I will treasure it forever.,Personalized Urn Necklace For Human Ashes Custom Pet Cremation Necklace Memorial Jewelry Cremation Jewelry for Pet Ashes - Free Funnel Kit
"Jul 2, 2023",5,,"Gigi Necklace Personalized With Grandkids Birth Month Birthstones Gift for Mom, Gift For Grandma Handmade Jewelry, Mother's Day Gift"
"Jul 2, 2023",5,Beautiful piece! Classy. Lots of compliments on it.,Personalized Butterfly Locket Urn Necklace For Human Ashes •Custom Pet Urn Memorial Jewelry • Cremation Jewelry •Free Funnel Kit
"Jul 2, 2023",5,I was pleased with the product however I thought it was going to be smaller. I would recommend this item if someone wanted a larger pendant.,Personalized Lotus Locket Necklace Cremation Jewelry • Personalized Urn Necklace • Pet Urn Ashes Necklace • Free Funnel Kit
"Jul 2, 2023",5,,Personalized Butterfly Locket Urn Necklace For Human Ashes •Custom Pet Urn Memorial Jewelry • Cremation Jewelry •Free Funnel Kit
"Jun 19, 2023",5,,"Personalized Tractor Cremation Necklace for Ashes, Urn Necklace for Ashes, Cremation Pendant, Ashes Necklace, Cremation Jewelry Dad Mom"
"Jun 19, 2023",5,,"Gigi Necklace Personalized With Grandkids Birth Month Birthstones Gift for Mom, Gift For Grandma Handmade Jewelry, Mother's Day Gift"
"Jun 19, 2023",5,This is exactly what I was looking for. It's a really nice piece. Thank you!,Personalized Crescent Moon Urn Necklace • Custom Pet Urn • Pet Memorial Jewelry •  Cremation Jewelry • Free Funnel Kit
